ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species
KJ578773.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus PHL092M00
KJ578772.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL085N00
KJ578771.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL082M04
KJ578770.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus PHL082M03
KJ578769.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL082M02
KJ578768.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL082M00
KJ578767.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus PHL070N00
KJ578766.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL067M09
KJ578765.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus PHL067M01
KJ578764.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL064M02
KJ578763.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL064M01
KJ578762.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL055N00
KJ578761.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus PHL041M10
KJ578760.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium phage PHL030N00
KJ578759.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus PHL025M00
KJ578758.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus PHL171M01
KP687432.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus virus G1
KP687431.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus virus G1
KP027447.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Sepunavirus,Staphylococcus virus IPLAC1C
KP735928.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME-SA4
KP209285.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus phiNM4
AE017333.1,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
KC351753.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Unclassified Myoviridae,Pseudomonas phage PS5
JC995944.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Picovirinae,Unclassified Picovirinae,Bacillus virus phi29
FO818745.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Punavirus,Escherichia virus RCS47
KJ722067.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus Pacnes201215
