ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Serotype,Isolate
LR862059.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 11,Human papillomavirus type 34,Human papillomavirus type 34 isolate LNS8703968_HPV34
LR862052.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 11,Human papillomavirus type 34,Human papillomavirus type 90 isolate LNS8437103_HPV90
LR862051.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 14,Human papillomavirus type 90,Human papillomavirus type 53 isolate LNS8369980_HPV53
LR862048.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 14,Human papillomavirus type 90,Human papillomavirus type 90 isolate LNS8120288_HPV90
LR862045.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 3,Human papillomavirus type 61,Human papillomavirus type 61 isolate LNS7945397_HPV61
LR862033.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 10,Human papillomavirus type 6,Human papillomavirus type 6 isolate LNS7630141_HPV6
LR862024.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS7454810_HPV53
LR862022.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35H,Human papillomavirus type 35H isolate LNS7454810_HPV35
LR862006.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 11,Human papillomavirus type 34,Human papillomavirus type 34 isolate LNS7199256_HPV34
LR862001.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 13,Human papillomavirus type 54,Human papillomavirus type 54 isolate LNS6974147_HPV54
LR861987.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 14,Human papillomavirus type 90,Human papillomavirus type 90 isolate LNS6249536_HPV90
LR861978.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS6234539_HPV53
LR861966.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 10,Human papillomavirus type 6,Human papillomavirus type 6 isolate LNS2013148_HPV6
LR861954.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS0937074_HPV53
LR861948.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS0838993_HPV53
LR861943.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 13,Human papillomavirus type 54,Human papillomavirus type 54 isolate LNS0630100_HPV54
LR861942.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS0630100_HPV53
LR861940.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 13,Human papillomavirus type 54,Human papillomavirus type 54 isolate LNS0599800_HPV54
LR861930.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Gammapapillomavirus,Gammapapillomavirus 6,Human papillomavirus type 101,Human papillomavirus type 101 isolate LNS5859951_HPV101
LR861923.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 13,Human papillomavirus type 54,Human papillomavirus type 54 isolate LNS5491243_HPV54
